"FDP Form 4a - Annual Procurement Plan or Procurement List, by Office or Department",,,,,,,,,,,,,
,,,,,,,,,,,,,
ANNUAL PROCUREMENT PLAN,,,,,,,,,,,,,
,,,,,,,,,,,,,
REGION: IV A,,,CALENDAR YEAR:,,2026,,,,,,,,
PROVINCE: Batangas,,,,,,,,,,,,,
CITY/MUNICIPALITY:,,,,,,,,,,,,,
,,,,,,,,,,,,,
Code (PAP),"Procurement
Project","PMO/
End-User",Is this an Early Procurement Activity? (Yes/No),Mode of Procurement,Schedule for Each Procurement Activity,,,,Source of Funds,Estimated Budget (PhP),,,"Remarks
(brief description of Project)"
,,,,,Advertisement/Posting of IB/REI,Submission/Opening of Bids,Notice of Award,Contract Signing,,Total,MOOE,CO,
5 02 03 990,Other Supplies & Materials Expenses,GSO,NO, BIDDING/ SMALL VALUE ,January-December,January-December,January-December,January-December,GF,,,,
5 02 13 070,Repair & Maint. -  Furnitures & Fixtures,,, BIDDING/ SMALL VALUE ,January-December,January-December,January-December,January-December,GF," 285,000.00 "," 285,000.00 ",,
5 02 13 060,Repair & Maint.- Transportation Equipment,,, BIDDING/ SMALL VALUE ,January-December,January-December,January-December,January-December,GF," 6,265,000.00 "," 6,265,000.00 ",,
5 02 13 040,Repair & Maint. - Building & Other Structure,,, BIDDING/ SMALL VALUE ,January-December,January-December,January-December,January-December,GF," 5,686,000.00 "," 5,686,000.00 ",,
5 02 13 210,Repairs & Maint. - Semi Expendable Machinery & Equipment,,, BIDDING/ SMALL VALUE ,January-December,January-December,January-December,January-December,GF," 330,000.00 "," 330,000.00 ",,
5 02 13 220,"Repairs & Maint. - Semi Expendable Furniture, Fixtures & Books",,, BIDDING/ SMALL VALUE ,January-December,January-December,January-December,January-December,GF," 320,000.00 "," 320,000.00 ",,
5 02 01 010,Travelling Expense Local,,,,January-December,January-December,January-December,January-December,GF," 1,238,275.00 "," 1,238,275.00 ",,
5 02 01 020,Travelling Expense Foreign ,,,,May,May,May,May,GF," 100,500.00 "," 100,500.00 ",,
5 02 03 090,"Fuel, Oil & Lubricants Expenses",,,,July - December,July - December,July - December,July - December,GF," 14,275,000.00 "," 14,275,000.00 ",,
5 02 04 010,Water Expenses,,,,July - December,July - December,July - December,July - December,GF," 14,000,000.00 "," 14,000,000.00 ",,
5 02 04 020,Electricity Expenses,,,,January-December,January-December,January-December,January-December,GF," 90,000,000.00 "," 75,000,000.00 ",,
5 02 05 010,Postage and Courier Service,,,,"March,June,September","May,June,September","May,June,September","May,June,September",GF," 9,750.00 "," 9,750.00 ",,
,Mails of official documents/letters/notices,,,,,,,,,,,,
5 02 05 020,Telephone Expenses ,,,,January-December,January-December,January-December,January-December,GF," 196,000.00 "," 196,000.00 ",,
5 02 05 030,Internet Subscription Expenses,,,,January-December,January-December,January-December,January-December,GF," 450,000.00 "," 450,000.00 ",,
5 02 05 040,"Cable, Satellite, Telegraph & Radio Expenses",,,,January-December,January-December,January-December,January-December,GF," 75,000.00 "," 75,000.00 ",,
5 02 99 060,"Membership, Dues & Contributions to Organizations",,,,"March,June,September","March,June,September","March,June,September","March,June,September",GF," 67,000.00 "," 67,000.00 ",,
5 02 99 010,Advertising Expenses,,, BIDDING/            SMALL VALUE ,"March,June,September","March,June,September","March,June,September","March,June,September",GF," 400,000.00 "," 400,000.00 ",,
,      Publication of Invitation to Bid,,,,,,,,,, -   ,,
5 02 99 020,Printing & Publication Expenses,,, BIDDING/            SMALL VALUE ,"March,June,September","March,June,September","March,June,September","March,June,September",GF," 50,000.00 "," 50,000.00 ",,
,      Records binding,,,,,,,,,, -   ,,
5 02 99 050,Rent Expenses,,, BIDDING/            SMALL VALUE ,January-December,January-December,January-December,January-December,GF," 14,903,000.00 "," 14,903,000.00 ",,
,     Rental of Chairs,,,,,,,,,,,,
,     Rental of Sound system & LED monitor,,,,,,,,,,,,
,     Rental of tent,,,,,,,,,,,,
,     Rental of vehicle/watercraft,,,,,,,,,,,,
,     Rental of portalet,,,,,,,,,,,,
,     Rental of Manlift,,,,,,,,,,,,
,    Rental of Crane Rough Terrain 25 tons with operator,,,,,,,,,,,,
,     Rental of stage,,,,,,,,,,,,
,     Rental of Chairs,,,,,,,,,,,,
,     Rental of Tables / Tables with cover,,,,,,,,,,,,
,     Rental of Sound system & LED monitor,,,,,,,,,,,,
,"     Rental of tent / Collapsible tent / foldable, protable tent with aircon",,,,,,,,,,,,
,     Rental of vehicle/watercraft,,,,,,,,,,,,
,     Rental of portalet,,,,,,,,,,,,
,     Rental of Manlift,,,,,,,,,,,,
,    Rental of Crane Rough Terrain 25 tons with operator,,,,,,,,,,,,
,     Rental of stage,,,,,,,,,,,,
,"     Rental of LED Wall, Camera",,,,,,,,,,,,
,     Rental of camera with gears and underwater camera,,,,,,,,,,,,
,"     Rental of HD Camera for Livefeed, Video Camera, Drone Camera, Roving Camera",,,,,,,,,,,,
,"    Rental of Venue, space",,,,,,,,,,,,
,    Rental of drumbeaters/brass band,,,,,,,,,,,,
,"    Rental of jeep, bus, mini bus, van, coaster, truck, bangka, motor boat, tricycle, public utility vehicle, ",,,,,,,,,,,,
,    Rental of Confetti blasters,,,,,,,,,,,,
,    Rental of Lapel Microphones,,,,,,,,,,,,
,   Rental of Portable Toilet,,,,,,,,,,,,
,   Rental of Projection Mapping (3D Surface Mapping),,,,,,,,,,,,
,   Rental of Special Light Set up,,,,,,,,,,,,
,"   Rental of Sound System (including all accessories), lights, and set up of instrument",,,,,,,,,,,,
,    Rental of stage st up and design,,,,,,,,,,,,
,   Rental of Video coverage,,,,,,,,,,,,
,"    Rental of Video mixer, video processor, video switcher",,,,,,,,,,,,
,    Rental of PC Controller Scaler,,,,,,,,,,,,
,"   Rental of HDMI, Cat 5, Peripherals",,,,,,,,,,,,
,"   Rental of Cables, signals and Accessories",,,,,,,,,,,,
,   Rental of electrical Cables ans Accessories,,,,,,,,,,,,
